Sexo de la victima,Grupo de edad de la victima,Zona del Hecho,Escenario del Hecho,Mes del hecho,Dia del hecho,Rango de Hora del Hecho X 3 Horas,Departamento del hecho DANE,Mecanismo Causal,Diagnostico Topográfico de la Lesión,Presunto Agresor,Pertenencia Grupal,Escolaridad,Ancestro Racial
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Jueves,03:00 a 05:59,Meta,Corto punzante,Trauma de abdomen,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Parte rural (vereda y campo),lugares de esparcimiento con expendio de alcohol,Enero,Domingo,00:00 a 02:59,Antioquia,Corto punzante,Trauma de cuello,Sin información,Campesinos (as) y/o trabajadores (as) del campo,Educación básica primaria,Mestizo
Hombre,(35 a 39),Parte rural (vereda y campo),"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Enero,Jueves,06:00 a 08:59,Risaralda,Proyectil de arma de fuego,Trauma craneano,Conocido sin ningun trato,Grupos étnicos,Educación media o secundaria alta,Indigena
Hombre,(25 a 29),Cabecera municipal,vivienda,Enero,Miércoles,18:00 a 20:59,Arauca,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Mujer,(45 a 49),Cabecera municipal,vía pública,Enero,Lunes,15:00 a 17:59,Arauca,Corto contundente,Trauma de abdomen,Otros familiares civiles o consanguíneos,Grupos étnicos,Sin escolaridad,Indigena
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Lunes,15:00 a 17:59,Arauca,Corto contundente,Politraumatismo,Otros familiares civiles o consanguíneos,Grupos étnicos,Educación inicial y educación preescolar,Indigena
Hombre,(35 a 39),Parte rural (vereda y campo),carretera (fuera de la ciudad),Enero,Miércoles,Sin información,Quindío,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Campesinos (as) y/o trabajadores (as) del campo,Sin información,Mestizo
Hombre,(40 a 44),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Jueves,03:00 a 05:59,Santander,Corto punzante,Politraumatismo,Vecino,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,lugar público sin otra indicación,Enero,Jueves,Sin información,Santander,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación media o secundaria alta,Sin información
Hombre,(35 a 39),Cabecera municipal,vía pública,Enero,Sábado,18:00 a 20:59,Santander,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Lunes,09:00 a 11:59,Santander,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Enero,Sábado,09:00 a 11:59,Santander,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
