feature,importance
Mecanismo Causal_Corto punzante,0.16145934086039168
Mecanismo Causal_Proyectil de arma de fuego,0.15256063914748366
Presunto Agresor_ELN,0.0661410569036024
Presunto Agresor_Fuerzas militares,0.06278121487517357
Presunto Agresor_Otros,0.0562290212135355
Presunto Agresor_Sin información,0.02658697743171744
Presunto Agresor_Fuerzas irregulares,0.023097581199308267
Departamento del hecho DANE_Atlántico,0.022963297443084337
Presunto Agresor_Compañero (a) permanente,0.021896471782340773
Presunto Agresor_Conocido sin ningun trato,0.021105568923668744
Sexo de la victima_Mujer,0.01908983089203827
Departamento del hecho DANE_Valle del Cauca,0.016725305549183278
Zona del Hecho_Parte rural (vereda y campo),0.014636256480192232
Presunto Agresor_Policía,0.013934419222929493
Presunto Agresor_Delincuencia común,0.013926695231876602
Grupo de edad de la victima_Otros,0.012931653109645235
Escolaridad_Educación media o secundaria alta,0.010519273672755916
"Departamento del hecho DANE_Bogotá, D.C.",0.009649950103990352
"Escenario del Hecho_espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",0.00962484631047659
Departamento del hecho DANE_Nariño,0.00942210238556788
Presunto Agresor_Amigo (a),0.008942336405275163
Departamento del hecho DANE_Norte de Santander,0.008846522435809155
Departamento del hecho DANE_Otros,0.008230378772280295
Diagnostico Topográfico de la Lesión_Politraumatismo,0.008002321528506898
Escolaridad_Educación básica secundaria o secundaria baja,0.007874221692635198
Rango de Hora del Hecho X 3 Horas_Sin información,0.00632407817483775
Escenario del Hecho_vía pública,0.006146117522087215
Escenario del Hecho_vivienda,0.006069949380594051
Pertenencia Grupal_Presunto colaborador de grupo ilegal,0.005678150901685981
Escenario del Hecho_lugares de esparcimiento con expendio de alcohol,0.004944507187694349
Pertenencia Grupal_Otro,0.004932854534340689
Rango de Hora del Hecho X 3 Horas_21:00 a 23:59,0.004613408170249529
Diagnostico Topográfico de la Lesión_Trauma de Tórax,0.004220059874690731
Mecanismo Causal_Generadores de asfixia,0.004201044384963519
Departamento del hecho DANE_Cauca,0.004046470477307181
